date,day_of_week,is_holiday,is_week_end,is_work
2015/5/13,3,0,1,1
2015/5/14,4,0,1,1
2015/5/15,5,0,1,1
2015/5/16,6,0,0,0
2015/5/17,7,0,0,0
2015/5/18,1,0,1,1
2015/5/19,2,0,1,1
2015/5/20,3,0,1,1
2015/5/21,4,0,1,1
2015/5/22,5,0,1,1
2015/5/23,6,0,0,0
2015/5/24,7,0,0,0
2015/5/25,1,0,1,1
2015/5/26,2,0,1,1
2015/5/27,3,0,1,1
2015/5/28,4,0,1,1
2015/5/29,5,0,1,1
2015/5/30,6,0,0,0
2015/5/31,7,0,0,0
2015/6/1,1,0,1,1
2015/6/2,2,0,1,1
2015/6/3,3,0,1,1
2015/6/4,4,0,1,1
2015/6/5,5,0,1,1
2015/6/6,6,0,0,0
2015/6/7,7,0,0,0
2015/6/8,1,0,1,1
2015/6/9,2,0,1,1
2015/6/10,3,0,1,1
2015/6/11,4,0,1,1
2015/6/12,5,0,1,1
2015/6/13,6,0,0,0
2015/6/14,7,0,0,0
2015/6/15,1,0,1,1
2015/6/16,2,0,1,1
2015/6/17,3,0,1,1
2015/6/18,4,0,1,1
2015/6/19,5,0,1,1
2015/6/20,6,1,0,0
2015/6/21,7,1,0,0
2015/6/22,1,1,1,0
2015/6/23,2,0,1,1
2015/6/24,3,0,1,1
2015/6/25,4,0,1,1
2015/6/26,5,0,1,1
2015/6/27,6,0,0,0
2015/6/28,7,0,0,0
2015/6/29,1,0,1,1
2015/6/30,2,0,1,1
2015/7/1,3,0,1,1
2015/7/2,4,0,1,1
2015/7/3,5,0,1,1
2015/7/4,6,0,0,0
2015/7/5,7,0,0,0
2015/7/6,1,0,1,1
2015/7/7,2,0,1,1
2015/7/8,3,0,1,1
2015/7/9,4,0,1,1
2015/7/10,5,0,1,1
2015/7/11,6,0,0,0
2015/7/12,7,0,0,0
